TICKER,Graham
MYPK3,0.28109191092347974
LOGG3,0.2976191644701109
BRAP3,0.32157094412760867
JBSS3,0.33522496490927906
NEOE3,0.35007268559287896
ENAT3,0.3598548320824249
MOVI3,0.37049819189322936
EVEN3,0.4283699354827253
POSI3,0.44824652841937185
DXCO3,0.4578517062171079
BBDC3,0.4668730403565406
CYRE3,0.4789362188125981
ENBR3,0.49265038467109
FHER3,0.5015667315334079
MRVE3,0.5030784434413016
EZTC3,0.5141381382162531
SANB3,0.5178272724816924
TRIS3,0.5324659935032613
QUAL3,0.5556045316378501
AGRO3,0.5663750012791389
BRML3,0.5828327774759491
CIEL3,0.6358670639975962
CCRO3,0.6359657885324705
ITUB3,0.6453058548266728
VALE3,0.6458969090983616
ALSO3,0.6583319764324997
VIVT3,0.675732402309932
SMTO3,0.687084012384218
GUAR3,0.6876147770191045
SUZB3,0.698949159153648
GRND3,0.7445447274513491
UGPA3,0.7720579933743222
SLCE3,0.7832028020584252
PTBL3,0.7915188021178552
PGMN3,0.797674182138942
LEVE3,0.8270300171375782
OMGE3,0.8316827223744345
VULC3,0.832554268921495
VLID3,0.8429984049520161
TIMS3,0.868942161837784
CPFE3,0.8856801618790833
TGMA3,0.910315239422832
CPLE3,0.933152452011201
PSSA3,0.9604114874764998
CRFB3,0.9647266111579909
